book_id,user_id,rating,status_id
1,314,5,246675545449582_1649696485147474
1,439,3,246675545449582_1649426988507757
1,588,5,246675545449582_1648730588577397
1,1169,4,246675545449582_1648576705259452
1,1185,4,246675545449582_1645700502213739
1,2077,4,246675545449582_1645650162218773
1,2487,4,246675545449582_1645564175560705
1,2900,5,246675545449582_1644824665634656
1,3662,4,246675545449582_1644655795651543
1,3922,5,246675545449582_1638788379571618
1,5379,5,246675545449582_1637655039684952
1,5461,3,246675545449582_1636730006444122
1,5885,5,246675545449582_1635846033199186
1,6630,5,246675545449582_1635730986544024
1,7563,3,246675545449582_1632874756829647
1,9246,1,246675545449582_1628507150599741
1,10140,4,246675545449582_1626584134125376
1,10146,5,246675545449582_1622470701203386
1,10246,4,246675545449582_1619188648198258
1,10335,4,246675545449582_1617858078331315
1,10610,5,246675545449582_1617109651739491
1,10944,5,246675545449582_1617051285078661
1,11854,4,246675545449582_1615645795219210
1,11927,4,246675545449582_1615629888554134
1,12471,5,246675545449582_1615585301891926
1,13282,5,246675545449582_1615510251899431
1,13544,5,246675545449582_1612677855516004
1,15494,5,246675545449582_1612652492185207
1,16377,4,246675545449582_1607114469405676
1,16913,5,246675545449582_1603834916400298
1,17434,5,246675545449582_1603743213076135
1,17663,5,246675545449582_1601965753253881
1,17984,5,246675545449582_1601596129957510
1,18031,5,246675545449582_1601516779965445
1,18313,5,246675545449582_1599664246817365
1,18361,4,246675545449582_1599393216844468
1,20076,3,246675545449582_1596564337127356
1,20467,3,246675545449582_1594428064007650
1,20848,5,246675545449582_1594137564036700
1,21228,5,246675545449582_1592459934204463
1,21487,4,246675545449582_1591545580962565
1,21713,5,246675545449582_1587015831415540
1,22602,4,246675545449582_1585003828283407
1,23576,4,246675545449582_1584252028358587
1,23612,4,246675545449582_1583900568393733
1,24326,5,246675545449582_1583080255142431
1,24389,4,246675545449582_1580958342021289
1,24499,5,246675545449582_1580162495434207
1,24834,4,246675545449582_1578866802230443
1,24845,5,246675545449582_1577938978989892
1,25164,4,246675545449582_1577078175742639
1,25182,5,246675545449582_1576207142496409
1,25214,4,246675545449582_1574973649286425
1,26145,4,246675545449582_1574253679358422
1,26629,4,246675545449582_1573231492793974
1,26661,4,246675545449582_1572311072886016
1,28158,4,246675545449582_1571313049652485
1,28767,5,246675545449582_1570062096444247
1,29123,3,246675545449582_1569275653189558
1,29703,5,246675545449582_1568291729954617
1,30681,5,246675545449582_1568182719965518
1,31001,4,246675545449582_1568125783304545
1,32055,4,246675545449582_1563157113801412
1,32305,5,246675545449582_1563042160479574
1,32592,4,246675545449582_1561427387307718
1,32635,5,246675545449582_1561426890641101
1,32748,5,246675545449582_1561178647332592
1,32923,5,246675545449582_1560153374101786
1,33065,4,246675545449582_1558134034303720
1,33697,4,246675545449582_1557086421075148
1,33716,5,246675545449582_1557066321077158
1,33872,5,246675545449582_1556033787847078
1,33890,3,246675545449582_1555610941222696
1,37284,5,246675545449582_1555011641282626
1,37834,5,246675545449582_1553995058050951
1,38080,4,246675545449582_1553987821385008
1,38082,5,246675545449582_1552962021487588
1,38475,4,246675545449582_1552783698172087
1,39423,3,246675545449582_1551983908252066
1,41074,3,246675545449582_1551534661630324
1,42404,5,246675545449582_1551514168299040
1,43985,4,246675545449582_1550682265048897
1,44243,2,246675545449582_1548244011959389
1,44397,5,246675545449582_1546364775480646
1,45269,4,246675545449582_1545432958907161
1,45493,5,246675545449582_1537523323031458
1,46977,4,246675545449582_1530240427093081
1,47476,4,246675545449582_1527322154051575
1,47746,5,246675545449582_1521905564593234
1,47800,5,246675545449582_1502675606516230
1,48482,3,246675545449582_1497272363723221
1,49298,4,246675545449582_1495724170544707
1,50104,5,246675545449582_1492286100888514
